4306658;26122781;3713963961;
4306658;3713963961;3713963958;
4306658;3713963958;3713963955;
4306658;3713963955;3713963954;
4306658;3713963954;26057801;
4306660;26122784;3713963423;
4306660;3713963423;112652825;
4306660;112652825;3713963419;
4306660;3713963419;3713963417;
4306660;3713963417;3713963414;
4306660;3713963414;26057776;
4306660;26057776;3713963410;
4306660;3713963410;112652828;
4306660;112652828;3713963406;
4306660;3713963406;26057774;
4306660;26057774;3713963404;
4306660;3713963404;112652829;
4306660;112652829;3713963407;
4306660;3713963407;26057772;
4306660;26057772;3713963411;
4306660;3713963411;3713963412;
4306660;3713963412;112652830;
4306660;112652830;3713963418;
4306660;3713963418;3713963420;
4306660;3713963420;26057769;
4306660;26057769;3713963421;
4306660;3713963421;3713963422;
4306660;3713963422;112652831;
4306660;112652831;3713963424;
4306660;3713963424;26057767;
4306660;26057767;112652832;
4306660;112652832;3713963928;
4306660;3713963928;3713963929;
4306660;3713963929;3713963930;
4306660;3713963930;26057764;
4306660;26057764;112652833;
4306660;112652833;26057762;
4306660;26057762;3713963934;
4306660;3713963934;3713963933;
4306660;3713963933;3713963932;
4306660;3713963932;112652932;
4306661;26057853;3713963415;
4306661;3713963415;3713963413;
4306661;3713963413;26057854;
4306661;26057854;3713963408;
4306661;3713963408;112654450;
4306661;112654450;3713963403;
4306661;3713963403;3713963401;
4306661;3713963401;112654452;
4306661;112654452;3713963399;
4306661;3713963399;26057855;
4306661;26057855;3713963397;
4306661;3713963397;112653914;
4306661;112653914;3713963395;
4306661;3713963395;26057856;
4306661;26057856;3713963392;
4306661;3713963392;112653915;
4306661;112653915;3713963393;
4306661;3713963393;3713963394;
4306661;3713963394;26057857;
4306661;26057857;3713963396;
4306661;3713963396;112653406;
4306661;112653406;3713963398;
4306661;3713963398;26057858;
4306661;26057858;3713963400;
4306661;3713963400;26122720;
4306662;3139458027;3139458019;
4306662;3139458019;26057847;
4306662;26057847;26057848;
4306662;26057848;3139458026;
4306662;3139458026;3713963925;
4306662;3713963925;3713963926;
4306662;3713963926;26057849;
4306662;26057849;3713963931;
4306662;3713963931;3713963935;
4306662;3713963935;3713963938;
4306662;3713963938;26057850;
4306662;26057850;3713963941;
4306662;3713963941;26057852;
4306662;26057852;26122724;
4311944;26122679;26122680;
4311944;26122680;2486315161;
4311944;2486315161;112632829;
4311944;112632829;26122681;
4311944;26122681;112632832;
4311944;112632832;2486315159;
4311944;2486315159;26122682;
4311944;26122682;112632836;
4311944;112632836;2486315153;
4311944;2486315153;2486315155;
4311944;2486315155;2486710653;
4311944;2486710653;26122848;
4311945;112627997;2486710639;
4311945;2486710639;26122676;
4311945;26122676;26122675;
4311945;26122675;112631533;
4311945;112631533;26122674;
4311945;26122674;26122673;
4311946;1561621080;2486710636;
4311946;2486710636;2486710635;
4311946;2486710635;2486710634;
4311949;26122708;3139458006;
4311949;3139458006;2486710654;
4311949;2486710654;2486315110;
4311949;2486315110;26122709;
4311949;26122709;1187411596;
4311949;1187411596;26122693;
4311951;26122707;112634552;
4311951;112634552;26122706;
4311951;26122706;2486315138;
4311951;2486315138;112634554;
4311951;112634554;2486315136;
4311951;2486315136;26122705;
4311951;26122705;112633972;
4311951;112633972;26122704;
4311951;26122704;112633698;
4311951;112633698;26122703;
